代码,名称,公司类型,指数归属,list_date,first_bar_2016_2021,last_bar_2016_2021,bars_2016_2021,listed_on_or_before_2016_start,listed_on_or_before_2021_end,had_any_trade_2016_2021,full_2016_2021_proxy
600176.SH,中国巨石,周期品公司,沪深300,19990422,2016-05-03,2021-12-31,1370.0,True,True,True,True
600309.SH,万华化学,周期品公司,沪深300,20010105,2016-05-03,2021-12-31,1257.0,True,True,True,True
600989.SH,宝丰能源,周期品公司,沪深300,20190516,2019-05-16,2021-12-31,643.0,False,True,True,False
600160.SH,巨化股份,周期品公司,沪深300,19980626,2016-05-03,2021-12-31,1372.0,True,True,True,True
600019.SH,宝钢股份,周期品公司,沪深300,20001212,2016-05-03,2021-12-31,1290.0,True,True,True,True
600585.SH,海螺水泥,周期品公司,沪深300,20020207,2016-05-03,2021-12-31,1382.0,True,True,True,True
002648.SZ,卫星化学,周期品公司,沪深300,20111228,2016-05-03,2021-12-31,1380.0,True,True,True,True
601636.SH,旗滨集团,周期品公司,中证1000,20110812,2016-05-03,2021-12-31,1382.0,True,True,True,True
600596.SH,新安股份,周期品公司,中证1000,20010906,2016-05-03,2021-12-31,1368.0,True,True,True,True
603733.SH,仙鹤股份,周期品公司,中证1000,20180420,2018-04-20,2021-12-31,902.0,False,True,True,False
300750.SZ,宁德时代,制造业公司,沪深300,20180611,2018-06-11,2021-12-31,868.0,False,True,True,False
002594.SZ,比亚迪,制造业公司,沪深300,20110630,2016-05-03,2021-12-31,1382.0,True,True,True,True
300274.SZ,阳光电源,制造业公司,沪深300,20111102,2016-05-03,2021-12-31,1377.0,True,True,True,True
300124.SZ,汇川技术,制造业公司,沪深300,20100928,2016-05-03,2021-12-31,1371.0,True,True,True,True
600406.SH,国电南瑞,制造业公司,沪深300,20031016,2016-05-03,2021-12-31,1273.0,True,True,True,True
600031.SH,三一重工,制造业公司,沪深300,20030703,2016-05-03,2021-12-31,1382.0,True,True,True,True
002028.SZ,思源电气,制造业公司,沪深300,20040805,2016-05-03,2021-12-31,1382.0,True,True,True,True
601126.SH,四方股份,制造业公司,中证1000,20101231,2016-05-03,2021-12-31,1382.0,True,True,True,True
300776.SZ,帝尔激光,制造业公司,中证1000,20190517,2019-05-17,2021-12-31,642.0,False,True,True,False
002747.SZ,埃斯顿,制造业公司,中证1000,20150320,2016-05-03,2021-12-31,1334.0,True,True,True,True
600519.SH,贵州茅台,消费品公司,沪深300,20010827,2016-05-03,2021-12-31,1382.0,True,True,True,True
000333.SZ,美的集团,消费品公司,沪深300,20130918,2016-05-03,2021-12-31,1332.0,True,True,True,True
000858.SZ,五粮液,消费品公司,沪深300,19980427,2016-05-03,2021-12-31,1382.0,True,True,True,True
