symbol,date,close,amount,turnover_rate,adj_factor,adj_price,ret
SH.600019,2016-05-03,5.64,178136630.0,0.19,2.067,11.65788,
SH.600019,2016-05-04,5.6,264377930.0,0.29,2.067,11.5752,-0.007092198581560294
SH.600019,2016-05-05,5.56,137989456.0,0.15,2.067,11.49252,-0.0071428571428571175
SH.600019,2016-05-06,5.41,267153333.0,0.3,2.067,11.18247,-0.026978417266187105
SH.600019,2016-05-09,5.17,318353200.0,0.37,2.067,10.686390000000001,-0.0443622920517559
SH.600019,2016-05-10,5.21,134747582.0,0.16,2.067,10.769070000000001,0.007736943907156624
SH.600019,2016-05-11,5.22,110828774.0,0.13,2.067,10.78974,0.0019193857965449368
SH.600019,2016-05-12,5.25,138296951.0,0.16,2.067,10.851750000000001,0.005747126436781658
SH.600019,2016-05-13,5.23,88810281.0,0.1,2.067,10.810410000000001,-0.003809523809523818
SH.600019,2016-05-16,5.2,152423654.0,0.18,2.067,10.748400000000002,-0.005736137667303964
SH.600019,2016-05-17,5.25,184661867.0,0.21,2.067,10.851750000000001,0.009615384615384581
SH.600019,2016-05-18,5.15,175556816.0,0.21,2.067,10.645050000000001,-0.01904761904761898
SH.600019,2016-05-19,5.19,112024496.0,0.13,2.067,10.727730000000001,0.007766990291262044
SH.600019,2016-05-20,5.21,82936265.0,0.1,2.067,10.769070000000001,0.003853564547206201
SH.600019,2016-05-23,5.22,91361768.0,0.11,2.067,10.78974,0.0019193857965449368
SH.600019,2016-05-24,5.16,80405694.0,0.09,2.067,10.66572,-0.011494252873563204
SH.600019,2016-05-25,5.17,59963988.0,0.07,2.067,10.686390000000001,0.0019379844961240345
SH.600019,2016-05-26,5.17,62661821.0,0.07,2.067,10.686390000000001,0.0
SH.600019,2016-05-27,5.21,99790329.0,0.12,2.067,10.769070000000001,0.007736943907156624
SH.600019,2016-05-30,5.18,81980134.0,0.1,2.067,10.70706,-0.0057581573896353655
SH.600019,2016-05-31,5.29,251220037.0,0.29,2.067,10.93443,0.021235521235521304
SH.600019,2016-06-01,5.26,198084826.0,0.23,2.067,10.87242,-0.005671077504725952
SH.600019,2016-06-02,5.25,114830155.0,0.13,2.067,10.851750000000001,-0.0019011406844106071
