symbol,date,adjusted_close,close,amount,turnover_rate
SH.600019,2016-05-03,2.33,2.33,178136630.0,0.19
SH.600019,2016-05-04,2.29,2.29,264377930.0,0.29
SH.600019,2016-05-05,2.25,2.25,137989456.0,0.15
SH.600019,2016-05-06,2.1,2.1,267153333.0,0.3
SH.600019,2016-05-09,1.86,1.86,318353200.0,0.37
SH.600019,2016-05-10,1.9,1.9,134747582.0,0.16
SH.600019,2016-05-11,1.91,1.91,110828774.0,0.13
SH.600019,2016-05-12,1.94,1.94,138296951.0,0.16
SH.600019,2016-05-13,1.92,1.92,88810281.0,0.1
SH.600019,2016-05-16,1.89,1.89,152423654.0,0.18
SH.600019,2016-05-17,1.94,1.94,184661867.0,0.21
SH.600019,2016-05-18,1.84,1.84,175556816.0,0.21
SH.600019,2016-05-19,1.88,1.88,112024496.0,0.13
SH.600019,2016-05-20,1.9,1.9,82936265.0,0.1
SH.600019,2016-05-23,1.91,1.91,91361768.0,0.11
SH.600019,2016-05-24,1.85,1.85,80405694.0,0.09
SH.600019,2016-05-25,1.86,1.86,59963988.0,0.07
SH.600019,2016-05-26,1.86,1.86,62661821.0,0.07
SH.600019,2016-05-27,1.9,1.9,99790329.0,0.12
SH.600019,2016-05-30,1.87,1.87,81980134.0,0.1
SH.600019,2016-05-31,1.98,1.98,251220037.0,0.29
SH.600019,2016-06-01,1.95,1.95,198084826.0,0.23
SH.600019,2016-06-02,1.94,1.94,114830155.0,0.13
SH.600019,2016-06-03,1.94,1.94,121947385.0,0.14
SH.600019,2016-06-06,1.95,1.95,138375950.0,0.16
SH.600019,2016-06-07,1.92,1.92,95316521.0,0.11
SH.600019,2016-06-08,1.9,1.9,108095874.0,0.13
SH.600019,2016-06-13,1.78,1.78,150121797.0,0.18
SH.600019,2016-06-14,1.79,1.79,98579393.0,0.12
SH.600019,2016-06-15,1.82,1.82,169983507.0,0.2
SH.600019,2016-06-16,1.74,1.74,227334585.0,0.28
SH.600019,2016-06-17,1.76,1.76,219903799.0,0.27
SH.600019,2016-06-20,1.76,1.76,110490190.0,0.13
SH.600019,2016-06-21,1.73,1.73,139130230.0,0.17
SH.600019,2016-06-22,1.76,1.76,136767595.0,0.17
SH.600019,2016-06-23,1.73,1.73,91939422.0,0.11
SH.600019,2016-06-24,1.65,1.65,170663649.0,0.21
SH.600019,2016-10-10,2.14,2.14,40416241.0,0.05
SH.600019,2016-10-11,2.54,2.54,1456307888.0,1.56
SH.600019,2016-10-12,2.34,2.34,584867904.0,0.63
SH.600019,2016-10-13,2.3,2.3,391618480.0,0.43
SH.600019,2016-10-14,2.27,2.27,226409762.0,0.25
SH.600019,2016-10-17,2.24,2.24,193978451.0,0.21
SH.600019,2016-10-18,2.29,2.29,249238599.0,0.28
SH.600019,2016-10-19,2.28,2.28,261075168.0,0.29
SH.600019,2016-10-20,2.25,2.25,179938665.0,0.2
SH.600019,2016-10-21,2.25,2.25,177782159.0,0.2
SH.600019,2016-10-24,2.32,2.32,318270048.0,0.35
SH.600019,2016-10-25,2.44,2.44,533162112.0,0.57
SH.600019,2016-10-26,2.43,2.43,306648608.0,0.33
