symbol,年份,年度收益%
SH.600176,2016,7.654540019840406
SH.600176,2017,188.77654189825753
SH.600176,2018,-34.97900483181664
SH.600176,2019,21.284830849263734
SH.600176,2020,110.72981328641633
SH.600176,2021,6.066811427376639
SH.600309,2016,-99.23699188576461
SH.600309,2017,638.3510167505573
SH.600309,2018,-35.80711073249824
SH.600309,2019,198.9505617740861
SH.600309,2020,79.64236030573237
SH.600309,2021,13.87349819734791
SH.600989,2019,-16.31698526323222
SH.600989,2020,36.02357252928079
SH.600989,2021,63.94588810721793
SH.600160,2016,-2.651326963877232
SH.600160,2017,3.5487767028338224
SH.600160,2018,-21.52440879869323
SH.600160,2019,15.03299271432208
SH.600160,2020,15.425515850992277
SH.600160,2021,69.00423263487781
SH.600019,2016,37.21442627792888
SH.600019,2017,80.57602049536099
SH.600019,2018,-30.179604986453647
SH.600019,2019,-6.6565685699620625
SH.600019,2020,13.445492448833885
SH.600019,2021,45.01966341569415
SH.600585,2016,49.3581445341928
SH.600585,2017,349.05812162983557
SH.600585,2018,7.0057968013293115
SH.600585,2019,153.44318883593778
SH.600585,2020,-2.6347194149467845
SH.600585,2021,-21.08070892792596
SZ.002648,2016,72.2733852247786
SZ.002648,2017,57.24103253460788
SZ.002648,2018,-55.57272135809317
SZ.002648,2019,123.51124591541787
SZ.002648,2020,81.22848544697156
SZ.002648,2021,135.4821963188098
SH.601636,2016,79.68150265310673
SH.601636,2017,236.7943914879361
SH.601636,2018,-59.953646142224585
SH.601636,2019,139.02566298993736
SH.601636,2020,222.55384707235996
SH.601636,2021,42.21026781159429
SH.600596,2016,64.59654057611242
SH.600596,2017,-13.439190415949831
SH.600596,2018,27.66712578875201
SH.600596,2019,-4.137052674666397
SH.600596,2020,15.974114964380725
SH.600596,2021,164.31575081745194
SH.603733,2018,19.395730801774235
SH.603733,2019,-8.023956497191476
SH.603733,2020,92.76429074110435
SH.603733,2021,69.57005213269187
SZ.300750,2018,985.0090392714344
SZ.300750,2019,90.17615421949459
SZ.300750,2020,354.4271079685553
SZ.300750,2021,75.47944103844652
SZ.002594,2016,-25.175469249128323
SZ.002594,2017,38.318643893892634
SZ.002594,2018,-24.829100867266995
SZ.002594,2019,-7.3800343058632585
SZ.002594,2020,374.2476869736205
SZ.002594,2021,39.91145932124069
SZ.300274,2016,-26.980559631236222
SZ.300274,2017,162.3965946798057
SZ.300274,2018,-99.7276228888692
SZ.300274,2019,46.553912401178565
SZ.300274,2020,1172.3153042994604
SZ.300274,2021,109.7169689746731
SZ.300124,2016,15.600546093156687
SZ.300124,2017,53.42997517021566
SZ.300124,2018,-33.425025519884585
SZ.300124,2019,62.63944913710724
SZ.300124,2020,225.8999571756986
SZ.300124,2021,11.004265410002102
SH.600406,2016,33.365925555660006
SH.600406,2017,16.74314682355771
SH.600406,2018,4.524461382197553
SH.600406,2019,21.081152593192254
SH.600406,2020,32.88879915737937
SH.600406,2021,95.45781439925427
SH.600031,2016,29.313075921895006
SH.600031,2017,95.866127304762
SH.600031,2018,-9.307511083354314
SH.600031,2019,161.35210446909153
SH.600031,2020,126.29742633459684
SH.600031,2021,-35.1594820632564
SZ.002028,2016,25.922021734189737
SZ.002028,2017,24.808935365549488
SZ.002028,2018,-42.15273199291805
SZ.002028,2019,49.530032743152816
SZ.002028,2020,52.757279849316504
SZ.002028,2021,158.93256501252432
SH.601126,2016,-7.036583374539173
SH.601126,2017,-35.25216954904692
SH.601126,2018,-99.556950928701
SH.601126,2019,104.75650031859854
SH.601126,2020,130.11989147288173
SH.601126,2021,527.1165101490855
SZ.300776,2019,182.62533589986893
SZ.300776,2020,64.9383385638024
SZ.300776,2021,72.6865593387681
SZ.002747,2016,25.633351452838184
SZ.002747,2017,2.968634033707862
SZ.002747,2018,-23.53586638052667
SZ.002747,2019,34.2369769899854
SZ.002747,2020,167.24121473969805
SZ.002747,2021,-12.953694038192031
SH.600519,2016,-64.5230244899057
SH.600519,2017,524.5555681896764
SH.600519,2018,-21.892513803833413
SH.600519,2019,176.42779599512224
SH.600519,2020,87.34349597597526
SH.600519,2021,4.025662466948421
