代码,名称,公司类型,指数归属,symbol,起始日,结束日,交易日数,累计收益%,CAGR%,年化波动%,最大回撤%,正收益年份数,可计算年份数,正收益年份占比%,平均成交额万元,中位换手率%,市值增长%,PE中位数,PB中位数
600176.SH,中国巨石,周期品公司,沪深300,SH.600176,2016-05-03,2021-12-31,1370,413.2075471698113,33.49097367421403,53.85455902157897,-58.84543761638734,5,6,83.33333333333334,53208.855406788316,1.0645,260.1873777625489,18.5199,2.7046
600309.SH,万华化学,周期品公司,沪深300,SH.600309,2016-05-03,2021-12-31,1257,-7236.923076923077,,700.4946035554017,-4851.236749116608,4,6,66.66666666666666,128763.81372927607,1.1138499999999998,766.7476957998256,16.3746,3.8463
600989.SH,宝丰能源,周期品公司,沪深300,SH.600989,2019-05-16,2021-12-31,643,16.781609195402304,6.080088846613685,54.80924515415945,-62.562994960403174,2,3,66.66666666666666,51719.75419222395,2.2403,8.432229856339802,18.8985,3.5927
600160.SH,巨化股份,周期品公司,沪深300,SH.600160,2016-05-03,2021-12-31,1372,69.58981612446959,9.778317286300698,47.95551297508424,-46.553552492046656,4,6,66.66666666666666,31613.970466982508,1.1066500000000001,-9.768118746158072,40.471999999999994,2.03165
600019.SH,宝钢股份,周期品公司,沪深300,SH.600019,2016-05-03,2021-12-31,1290,157.5107296137339,18.182899100037943,51.469333613562426,-69.35286935286935,3,6,50.0,66831.63444651163,0.3185,85.12814019642747,10.4329,0.8883
600585.SH,海螺水泥,周期品公司,沪深300,SH.600585,2016-05-03,2021-12-31,1382,1265.2173913043478,58.6716201495481,84.25035245260702,-79.84189723320158,4,6,66.66666666666666,110442.43609044862,0.6145,150.7778469186944,8.9774,1.7305
002648.SZ,卫星化学,周期品公司,沪深300,SZ.002648,2016-05-03,2021-12-31,1380,914.3617021276598,50.56142004407682,65.4873497795715,-67.56272401433692,5,6,83.33333333333334,26402.307575869567,1.0322,765.0058204271356,17.0494,2.3197
601636.SH,旗滨集团,周期品公司,中证1000,SH.601636,2016-05-03,2021-12-31,1382,2312.3076923076924,75.45476077308444,100.55515483834618,-81.3588850174216,5,6,83.33333333333334,40209.58244819103,1.5089,284.5599213947541,13.0178,1.93
600596.SH,新安股份,周期品公司,中证1000,SH.600596,2016-05-03,2021-12-31,1368,407.3619631901841,33.221154771880215,62.543593981580806,-66.16791354945968,4,6,66.66666666666666,42391.17995,2.8959,228.01691718863327,17.6403,1.5142
603733.SH,仙鹤股份,周期品公司,中证1000,SH.603733,2018-04-20,2021-12-31,902,131.858407079646,25.527803573091656,54.20692094763293,-70.08500137098986,2,4,50.0,16014.795977605321,4.64215,140.55367004151344,26.9142,3.239
300750.SZ,宁德时代,制造业公司,沪深300,SZ.300750,2018-06-11,2021-12-31,868,-45130.882352941175,,205.05002950298626,-53300.0,3,4,75.0,335008.9118549539,1.3648,1642.7541034021224,70.6725,7.6814
002594.SZ,比亚迪,制造业公司,沪深300,SZ.002594,2016-05-03,2021-12-31,1382,373.4827774740295,31.604934443422096,49.045522225269,-55.560769591740964,3,6,50.0,219777.56820520983,1.0478,436.48835648845665,45.1372,3.0759
300274.SZ,阳光电源,制造业公司,沪深300,SZ.300274,2016-05-03,2021-12-31,1377,1798.870056497175,68.19292814120195,461.4178330103614,-99.91452991452991,4,6,66.66666666666666,112088.13564110384,2.39475,1232.8848821269903,27.290149999999997,2.8594
300124.SZ,汇川技术,制造业公司,沪深300,SZ.300124,2016-05-03,2021-12-31,1371,570.8000000000001,39.95641235216476,43.876857635530484,-47.6388888888889,5,6,83.33333333333334,55743.86533610504,0.78525,428.8543119982688,44.1175,8.0139
600406.SH,国电南瑞,制造业公司,沪深300,SH.600406,2016-05-03,2021-12-31,1273,391.2878787878788,32.465785622329115,45.969096359620785,-38.139931740614344,6,6,100.0,48659.24130989788,0.63995,480.9964254107434,24.84135,3.73015
600031.SH,三一重工,制造业公司,沪深300,SH.600031,2016-05-03,2021-12-31,1382,735.2941176470589,45.48399140478227,47.67363842184359,-55.880427667466726,4,6,66.66666666666666,151428.15168958032,0.8723,323.69144521424573,17.6948,2.697
002028.SZ,思源电气,制造业公司,沪深300,SZ.002028,2016-05-03,2021-12-31,1382,412.433011789925,33.455368770236696,46.627390626030156,-56.45429362880887,5,6,83.33333333333334,27024.04185014472,1.6875,321.32516062207054,24.7557,2.7013
601126.SH,四方股份,制造业公司,中证1000,SH.601126,2016-05-03,2021-12-31,1382,219.81981981981983,22.79377421595754,284.2382364289576,-99.8663101604278,3,6,50.0,12988.570776700433,0.7181,74.89539748953975,23.1162,1.5271
300776.SZ,帝尔激光,制造业公司,中证1000,SZ.300776,2019-05-17,2021-12-31,642,435.2143244709713,89.43973019672057,58.23863948958569,-34.90138592750534,3,3,100.0,18765.670486915886,3.38725,394.89821563629437,38.381150000000005,7.2483
002747.SZ,埃斯顿,制造业公司,中证1000,SZ.002747,2016-05-03,2021-12-31,1334,190.55118110236216,20.729762908356932,51.675639842017716,-53.25884543761639,4,6,66.66666666666666,15665.310589730134,1.5401,189.19421675811466,126.4981,7.0689
600519.SH,贵州茅台,消费品公司,沪深300,SH.600519,2016-05-03,2021-12-31,1382,-19165.5704008222,,413.93573257045864,-9537.682878608144,4,6,66.66666666666666,398664.83627670043,0.2715,876.0975145224265,32.641,10.0217
000333.SZ,美的集团,消费品公司,沪深300,SZ.000333,2016-05-03,2021-12-31,1332,1502.5575447570332,63.2277862699677,60.348732944135264,-54.60569913850232,4,6,66.66666666666666,177203.58616876876,0.4802,306.6840139178649,16.961,4.1107
000858.SZ,五粮液,消费品公司,沪深300,SZ.000858,2016-05-03,2021-12-31,1382,11694.18604651163,132.21904640833958,1945.7128207190283,-127.90697674418605,4,6,66.66666666666666,318740.70752069465,0.639,786.9632271376943,29.2016,5.5697
000651.SZ,格力电器,消费品公司,沪深300,SZ.000651,2016-09-02,2021-12-31,1274,-2864.516129032258,,146.52115367440882,-6036.559139784946,2,6,33.33333333333333,267846.69086169545,0.8315,79.69733424754797,12.7589,3.3735
603288.SH,海天味业,消费品公司,沪深300,SH.603288,2016-05-03,2021-12-31,1382,758.3146067415731,46.18424638505303,39.184883263903394,-48.822463768115945,4,6,66.66666666666666,40543.001087192475,0.1456,394.30674567641626,51.0297,16.8516
600887.SH,伊利股份,消费品公司,沪深300,SH.600887,2016-05-03,2021-12-31,1358,470.35881435257414,36.00373304102546,46.30001836779725,-49.83654195423174,4,6,66.66666666666666,177150.630495729,0.8655,188.41383105938766,25.9359,6.9408
600809.SH,山西汾酒,消费品公司,沪深300,SH.600809,2016-05-03,2021-12-31,1370,-8393.64640883978,,1388.1165703758418,-8740.963855421687,4,6,66.66666666666666,82554.09125459855,0.7053,2369.3837450367387,43.3943,9.0387
002847.SZ,盐津铺子,消费品公司,中证1000,SZ.002847,2017-02-08,2021-12-31,1196,3513.861386138614,108.17962082738428,90.20928957519492,-80.18990073370739,3,5,60.0,15151.527584448162,3.99155,578.5724090597117,53.084649999999996,7.22135
002507.SZ,涪陵榨菜,消费品公司,中证1000,SZ.002507,2016-06-15,2021-12-31,1276,803.6303630363036,48.7415892397524,48.03725683745081,-54.14094650205763,5,6,83.33333333333334,29112.127164576803,1.3693,501.1454773237738,36.2565,7.28645
