代码,名称,公司类型,指数归属,起始日,结束日,交易日数,累计收益%,CAGR%,年化波动%,最大回撤%,正收益年份数,可计算年份数,正收益年份占比%,平均成交额万元,中位换手率%,市值增长%,PE中位数,PB中位数
600176.SH,中国巨石,周期品公司,沪深300,2016-05-03,2021-12-31,1370,447.973877672801,35.045372950721365,53.911854830503614,-58.84565629236618,5,6,83.33333333333334,53208.855406788316,1.0645,260.1873777625489,18.5199,2.7046
600309.SH,万华化学,周期品公司,沪深300,2016-05-03,2021-12-31,1240,-77.88383884078904,-23.394017659372967,126.66612613845898,-99.73348084480652,4,6,66.66666666666666,130219.44248411291,1.1138499999999998,766.7476957998256,16.3746,3.8463
600989.SH,宝丰能源,周期品公司,沪深300,2019-05-16,2021-12-31,643,86.61735221786633,26.79110231508295,66.35660575164292,-62.582084135997505,2,3,66.66666666666666,51719.75419222395,2.2403,8.432229856339802,18.8985,3.5927
600160.SH,巨化股份,周期品公司,沪深300,2016-05-03,2021-12-31,1372,77.51351717874655,10.66727994856318,47.98359148214138,-46.503881236946356,4,6,66.66666666666666,31613.970466982508,1.1066500000000001,-9.768118746158072,40.471999999999994,2.03165
600019.SH,宝钢股份,周期品公司,沪深300,2016-05-03,2021-12-31,1290,165.6684935043558,18.835694148560812,53.48987320459582,-69.3694891979737,4,6,66.66666666666666,66831.63444651163,0.3185,85.12814019642747,10.4329,0.8883
600585.SH,海螺水泥,周期品公司,沪深300,2016-05-03,2021-12-31,1382,1297.676585645282,59.331498597780374,84.22567603287364,-79.84263811677643,4,6,66.66666666666666,110442.43609044862,0.6145,150.7778469186944,8.9774,1.7305
002648.SZ,卫星化学,周期品公司,沪深300,2016-05-03,2021-12-31,1380,1047.9360763026789,53.887230236029346,65.68904084689228,-67.57431443213508,5,6,83.33333333333334,26402.307575869567,1.0322,765.0058204271356,17.0494,2.3197
601636.SH,旗滨集团,周期品公司,中证1000,2016-05-03,2021-12-31,1382,2557.1062075684686,78.47565816642108,100.60697177217935,-81.36865005696826,5,6,83.33333333333334,40209.58244819103,1.5089,284.5599213947541,13.0178,1.93
600596.SH,新安股份,周期品公司,中证1000,2016-05-03,2021-12-31,1368,434.51018135623576,34.45331959339357,62.61891020066648,-66.17452230140147,4,6,66.66666666666666,42391.17995,2.8959,228.01691718863327,17.6403,1.5142
603733.SH,仙鹤股份,周期品公司,中证1000,2018-04-20,2021-12-31,902,258.9543827050727,41.27255557927474,61.32597473050305,-70.06592396069937,3,4,75.0,16014.795977605321,4.64215,140.55367004151344,26.9142,3.239
300750.SZ,宁德时代,制造业公司,沪深300,2018-06-11,2021-12-31,866,16354.318136213988,319.92213527692917,104.28316702850562,-57.61910982971003,4,4,100.0,335782.25452794455,1.3648,1642.7541034021224,70.6725,7.6814
002594.SZ,比亚迪,制造业公司,沪深300,2016-05-03,2021-12-31,1382,378.1207508781369,31.831707479081683,49.02978088232009,-55.57984221783519,3,6,50.0,219777.56820520983,1.0478,436.48835648845665,45.1372,3.0759
300274.SZ,阳光电源,制造业公司,沪深300,2016-05-03,2021-12-31,1374,-79.5923477880667,-24.474136227540466,119.05653896455068,-99.97924825285038,4,6,66.66666666666666,112297.98014017468,2.39475,1232.8848821269903,27.290149999999997,2.8594
300124.SZ,汇川技术,制造业公司,沪深300,2016-05-03,2021-12-31,1371,594.7538694848181,40.82641431928202,44.12150662823765,-47.65994931867215,5,6,83.33333333333334,55743.86533610504,0.78525,428.8543119982688,44.1175,8.0139
600406.SH,国电南瑞,制造业公司,沪深300,2016-05-03,2021-12-31,1273,411.8140206300641,33.42688226545001,45.99176894142903,-38.16461312740941,6,6,100.0,48659.24130989788,0.63995,480.9964254107434,24.84135,3.73015
600031.SH,三一重工,制造业公司,沪深300,2016-05-03,2021-12-31,1382,780.8971215156255,46.85631082379391,47.7072627853567,-55.8423293515198,4,6,66.66666666666666,151428.15168958032,0.8723,323.69144521424573,17.6948,2.697
002028.SZ,思源电气,制造业公司,沪深300,2016-05-03,2021-12-31,1382,437.7089159619163,34.59508361596926,46.656971388968515,-56.444553940658274,5,6,83.33333333333334,27024.04185014472,1.6875,321.32516062207054,24.7557,2.7013
601126.SH,四方股份,制造业公司,中证1000,2016-05-03,2021-12-31,1379,-92.11994549905901,-36.158206892718205,151.8344356677006,-99.96568751385921,3,6,50.0,13011.988495794054,0.7181,74.89539748953975,23.1162,1.5271
300776.SZ,帝尔激光,制造业公司,中证1000,2019-05-17,2021-12-31,642,704.9914055158928,121.3016343174023,66.19967583544441,-34.91114801211156,3,3,100.0,18765.670486915886,3.38725,394.89821563629437,38.381150000000005,7.2483
