代码,名称,公司类型,指数归属,起始日,结束日,交易日数,累计收益%,CAGR%,年化波动%,最大回撤%,正收益年份数,可计算年份数,正收益年份占比%,平均成交额万元,中位换手率%,市值增长%,PE中位数,PB中位数
600176.SH,中国巨石,周期品公司,沪深300,2016-05-04,2021-12-31,1369,236.53242321991078,23.91631376830292,40.48853237545631,-48.17117454661507,5,6,83.33333333333334,53230.02264638422,1.0645,260.1873777625489,18.5199,2.7046
600309.SH,万华化学,周期品公司,沪深300,2016-05-04,2021-12-31,1256,772.8035789857261,46.644237471070895,40.60119973199387,-49.15572232645403,5,6,83.33333333333334,128843.96027141719,1.1138499999999998,766.7476957998256,16.3746,3.8463
600989.SH,宝丰能源,周期品公司,沪深300,2019-05-17,2021-12-31,642,17.106808244847116,6.199035300635258,44.29851009980747,-51.9436913946588,2,3,66.66666666666666,51776.07330545172,2.2403,8.432229856339802,18.8985,3.5927
600160.SH,巨化股份,周期品公司,沪深300,2016-05-04,2021-12-31,1371,62.337145276439074,8.938646146381867,41.31522636736206,-40.74495675538196,4,6,66.66666666666666,31611.224236250913,1.1066500000000001,-9.768118746158072,40.471999999999994,2.03165
600019.SH,宝钢股份,周期品公司,沪深300,2016-05-04,2021-12-31,1289,73.56637742025221,10.233819946241308,34.42853806168338,-53.5748326242536,4,6,66.66666666666666,66869.66235298681,0.3185,85.12814019642747,10.4329,0.8883
600585.SH,海螺水泥,周期品公司,沪深300,2016-05-04,2021-12-31,1381,207.14082405059432,21.93128796004933,32.08207308943475,-41.03385000664748,4,6,66.66666666666666,110500.1340954381,0.6145,150.7778469186944,8.9774,1.7305
002648.SZ,卫星化学,周期品公司,沪深300,2016-05-04,2021-12-31,1379,510.030921561045,37.649896503887504,47.23717998578446,-52.97189954231718,5,6,83.33333333333334,26416.886273531545,1.0322,765.0058204271356,17.0494,2.3197
601636.SH,旗滨集团,周期品公司,中证1000,2016-05-04,2021-12-31,1381,522.2648363215932,38.13371506166554,45.85398157606054,-56.83046888251546,5,6,83.33333333333334,40231.76932643013,1.5089,284.5599213947541,13.0178,1.93
600596.SH,新安股份,周期品公司,中证1000,2016-05-04,2021-12-31,1367,264.0676175063146,25.650401928741683,49.045536912329105,-57.424803463597996,4,6,66.66666666666666,42416.01460102414,2.8959,228.01691718863327,17.6403,1.5142
603733.SH,仙鹤股份,周期品公司,中证1000,2018-04-23,2021-12-31,901,121.87961165048505,24.10318353826937,48.72926967562724,-65.53752877973903,2,4,50.0,16032.432449500555,4.64215,140.55367004151344,26.9142,3.239
