指标,样本数,均值,中位数,25分位,75分位,最小值,最大值
累计收益%,73,-542.6187743811249,157.5107296137339,1.4890646812470987,570.8000000000001,-45130.882352941175,11694.18604651163
CAGR%,65,34.21877369672092,25.527803573091656,6.080088846613685,50.56142004407682,-42.92829079497734,175.32551770640984
年化波动%,71,140.17592947100417,54.20692094763293,46.13455736370902,62.62880248965421,30.90931061033278,1945.7128207190283
最大回撤%,73,-1228.4406049279123,-62.92246520874751,-79.84189723320158,-52.20994475138121,-53300.0,-28.552278820375342
正收益年份占比%,73,61.66666666666666,66.66666666666666,50.0,66.66666666666666,0.0,100.0
平均成交额万元,73,81677.91795151935,51719.75419222395,26987.986496615904,110442.43609044862,3248.4686449708456,398664.83627670043
中位换手率%,73,1.5201602739726028,1.1066500000000001,0.7782,2.1114,0.0345,5.3305
市值增长%,73,465.94525810651317,257.6758837901087,77.53705614795774,570.1371728373864,-55.22598870056497,2887.1534675791363
PE中位数,72,59.06817083333333,41.32695,25.099987499999997,69.1119,7.7306,306.4326
PB中位数,73,5.734200684931507,4.3394,2.8594,7.4728,0.8883,21.55665
