指标,样本数,均值,中位数,25分位,75分位,最小值,最大值
累计收益%,73,865.0873341925819,208.88272131334014,10.04622095672234,815.3592558882975,-99.99999999073334,16354.318136213988
CAGR%,73,35.701709281567126,26.79110231508295,1.7051622140415779,49.21818758611038,-98.30971974137972,319.92213527692917
年化波动%,73,70.24568776381301,57.479636913993936,46.317094565780216,66.19967583544441,30.905278671404098,383.13906530815257
最大回撤%,73,-65.17293024422283,-62.582084135997505,-74.15005292653301,-52.25324613348381,-99.99999999994857,-28.557945070086056
正收益年份占比%,73,62.57990867579908,66.66666666666666,50.0,75.0,0.0,100.0
平均成交额万元,73,81533.53750552132,51719.75419222395,26987.986496615904,110442.43609044862,3248.4686449708456,399917.31505
中位换手率%,73,1.5201602739726028,1.1066500000000001,0.7782,2.1114,0.0345,5.3305
市值增长%,73,465.94525810651317,257.6758837901087,77.53705614795774,570.1371728373864,-55.22598870056497,2887.1534675791363
PE中位数,72,59.06817083333333,41.32695,25.099987499999997,69.1119,7.7306,306.4326
PB中位数,73,5.734200684931507,4.3394,2.8594,7.4728,0.8883,21.55665
