指标,样本数,均值,中位数,25分位,75分位,最小值,最大值
累计收益%,73,364.1344707125197,207.14082405059432,35.94370096908164,480.24559341950754,-55.225988700564855,2392.544530816217
CAGR%,73,28.38287436041009,23.574684897064714,8.871950193302268,42.10429227943244,-42.642095964880944,163.10351573952642
年化波动%,73,44.142586580699835,43.450456792747225,38.48587548921862,49.976503055813886,20.511299892117844,62.80175142027764
最大回撤%,73,-53.80400909200629,-52.47706422018346,-61.80497157657516,-46.15789869797552,-81.46179952846902,-28.018550185873625
正收益年份占比%,73,63.15068493150685,66.66666666666666,50.0,83.33333333333334,0.0,100.0
平均成交额万元,73,81510.44138909181,51776.07330545172,27031.89295887038,110500.1340954381,3246.19612297593,398847.5064967415
中位换手率%,73,1.5201602739726028,1.1066500000000001,0.7782,2.1114,0.0345,5.3305
市值增长%,73,465.94525810651317,257.6758837901087,77.53705614795774,570.1371728373864,-55.22598870056497,2887.1534675791363
PE中位数,72,59.06817083333333,41.32695,25.099987499999997,69.1119,7.7306,306.4326
PB中位数,73,5.734200684931507,4.3394,2.8594,7.4728,0.8883,21.55665
