公司类型,年份,收益%,有效成分均值
军工公司,2016,4.787043129103474,8.457317073170731
军工公司,2017,-15.728271561496243,8.012295081967213
军工公司,2018,-24.38562749491686,8.736625514403292
军工公司,2019,41.94318789026437,9.53688524590164
军工公司,2020,65.80408731267602,9.991769547325102
军工公司,2021,18.189680833247035,10.0
制造业公司,2016,3.1374453041402184,7.9573170731707314
制造业公司,2017,32.50833386145444,7.405737704918033
制造业公司,2018,-14.768988486125089,8.563786008230453
制造业公司,2019,44.08409315039108,9.549180327868852
制造业公司,2020,159.67388384376312,10.0
制造业公司,2021,72.60184049452964,10.0
医药公司,2016,28.724565973426408,4.083333333333333
医药公司,2017,48.31994927014571,5.340163934426229
医药公司,2018,20.51251437260271,6.711934156378601
医药公司,2019,97.31456107834515,7.959016393442623
医药公司,2020,82.64330787654508,8.0
医药公司,2021,7.294110459019265,8.0
周期品公司,2016,19.025919905320208,7.554878048780488
周期品公司,2017,54.71381016884105,7.80327868852459
周期品公司,2018,-15.132615860857769,8.267489711934155
周期品公司,2019,27.827240966462007,9.639344262295081
周期品公司,2020,50.867282472037466,9.88477366255144
周期品公司,2021,55.24562833879105,10.0
平台型公司,2016,4.243376905123508,5.676829268292683
平台型公司,2017,31.156306587893525,5.540983606557377
平台型公司,2018,-37.36064513456865,5.534979423868313
平台型公司,2019,80.22872749838118,7.237704918032787
平台型公司,2020,42.10239920148624,8.958847736625515
平台型公司,2021,9.746863363524438,9.0
消费品公司,2016,25.330193216490883,8.018292682926829
消费品公司,2017,108.27255264131988,9.80327868852459
消费品公司,2018,-15.425671303849365,9.604938271604938
消费品公司,2019,80.46991402912343,9.930327868852459
消费品公司,2020,93.09989913925618,10.0
消费品公司,2021,-7.480784418304642,10.0
科技硬件公司,2016,8.359468863805898,4.0
科技硬件公司,2017,78.5328314122254,4.147058823529412
科技硬件公司,2018,-24.339053897254804,5.567901234567901
科技硬件公司,2019,115.26846405396185,6.0
科技硬件公司,2020,27.422423474566248,6.9300411522633745
科技硬件公司,2021,2.292360134546789,8.0
资源品公司,2016,-0.9571023517509714,7.810975609756097
资源品公司,2017,37.72596219128148,7.299180327868853
资源品公司,2018,-19.409964237871215,7.983539094650205
资源品公司,2019,15.386343295449212,7.983606557377049
资源品公司,2020,17.08060888345868,8.0
资源品公司,2021,43.486194128115855,7.958847736625515
