公司类型,序号,代码,名称,指数归属,最新日期,最新收盘价
周期品公司,1,600176.SH,中国巨石,沪深300,2026-05-28,43.48
周期品公司,2,600309.SH,万华化学,沪深300,2026-05-28,73.85
周期品公司,3,600989.SH,宝丰能源,沪深300,2026-05-28,24.92
周期品公司,4,600160.SH,巨化股份,沪深300,2026-05-28,34.57
周期品公司,5,600019.SH,宝钢股份,沪深300,2026-05-28,5.96
周期品公司,6,600585.SH,海螺水泥,沪深300,2026-05-28,19.67
周期品公司,7,002648.SZ,卫星化学,沪深300,2026-05-28,23.88
周期品公司,8,601636.SH,旗滨集团,中证1000,2026-05-28,6.95
周期品公司,9,600596.SH,新安股份,中证1000,2026-05-28,12.52
周期品公司,10,603733.SH,仙鹤股份,中证1000,2026-05-28,23.62
制造业公司,1,300750.SZ,宁德时代,沪深300,2026-05-28,415.68
制造业公司,2,002594.SZ,比亚迪,沪深300,2026-05-28,95.88
制造业公司,3,300274.SZ,阳光电源,沪深300,2026-05-28,190.09
制造业公司,4,300124.SZ,汇川技术,沪深300,2026-05-28,76.95
制造业公司,5,600406.SH,国电南瑞,沪深300,2026-05-28,25.1
制造业公司,6,600031.SH,三一重工,沪深300,2026-05-28,17.9
制造业公司,7,002028.SZ,思源电气,沪深300,2026-05-28,204.9
制造业公司,8,601126.SH,四方股份,中证1000,2026-05-28,82.02
制造业公司,9,300776.SZ,帝尔激光,中证1000,2026-05-28,166.1
制造业公司,10,002747.SZ,埃斯顿,中证1000,2026-05-28,28.32
消费品公司,1,600519.SH,贵州茅台,沪深300,2026-05-28,1275.98
消费品公司,2,000333.SZ,美的集团,沪深300,2026-05-28,78.95
消费品公司,3,000858.SZ,五粮液,沪深300,2026-05-28,81.49
消费品公司,4,000651.SZ,格力电器,沪深300,2026-05-28,37.88
消费品公司,5,603288.SH,海天味业,沪深300,2026-05-28,35.29
消费品公司,6,600887.SH,伊利股份,沪深300,2026-05-28,26.0
消费品公司,7,600809.SH,山西汾酒,沪深300,2026-05-28,126.17
消费品公司,8,002847.SZ,盐津铺子,中证1000,2026-05-28,56.4
消费品公司,9,002507.SZ,涪陵榨菜,中证1000,2026-05-28,11.39
消费品公司,10,600258.SH,首旅酒店,中证1000,2026-05-28,12.85
医药公司,1,603259.SH,药明康德,沪深300,2026-05-28,100.8
医药公司,2,600276.SH,恒瑞医药,沪深300,2026-05-28,48.0
医药公司,3,300760.SZ,迈瑞医疗,沪深300,2026-05-28,150.78
医药公司,4,688506.SH,百利天恒,沪深300,2026-05-28,219.6
医药公司,5,002001.SZ,新和成,沪深300,2026-05-28,30.05
医药公司,6,000538.SZ,云南白药,沪深300,2026-05-28,48.82
医药公司,7,688271.SH,联影医疗,沪深300,2026-05-28,122.16
医药公司,8,603127.SH,昭衍新药,中证1000,2026-05-28,36.46
医药公司,9,300573.SZ,兴齐眼药,中证1000,2026-05-28,39.46
医药公司,10,300529.SZ,健帆生物,中证1000,2026-05-28,17.88
科技硬件公司,1,601138.SH,工业富联,沪深300,2026-05-28,75.0
科技硬件公司,2,300308.SZ,中际旭创,沪深300,2026-05-28,1197.99
科技硬件公司,3,688981.SH,中芯国际,沪深300,2026-05-28,153.7
科技硬件公司,4,688256.SH,寒武纪,沪深300,2026-05-28,1391.5
科技硬件公司,5,300502.SZ,新易盛,沪深300,2026-05-28,718.34
科技硬件公司,6,002371.SZ,北方华创,沪深300,2026-05-28,659.0
科技硬件公司,7,002475.SZ,立讯精密,沪深300,2026-05-28,72.8
科技硬件公司,8,603083.SH,剑桥科技,中证1000,2026-05-28,203.04
科技硬件公司,9,688409.SH,富创精密,中证1000,2026-05-28,163.37
科技硬件公司,10,301205.SZ,联特科技,中证1000,2026-05-28,292.8
军工公司,1,600150.SH,中国船舶,沪深300,2026-05-28,38.18
军工公司,2,302132.SZ,中航成飞,沪深300,2026-05-28,62.19
军工公司,3,600760.SH,中航沈飞,沪深300,2026-05-28,42.83
军工公司,4,600893.SH,航发动力,沪深300,2026-05-28,43.77
军工公司,5,600118.SH,中国卫星,沪深300,2026-05-28,81.97
军工公司,6,600482.SH,中国动力,沪深300,2026-05-28,39.33
军工公司,7,002625.SZ,光启技术,沪深300,2026-05-28,42.15
军工公司,8,000768.SZ,中航西飞,沪深300,2026-05-28,21.69
军工公司,9,600372.SH,中航机载,沪深300,2026-05-28,11.41
军工公司,10,300775.SZ,三角防务,中证1000,2026-05-28,25.72
平台型公司,1,300033.SZ,同花顺,沪深300,2026-05-28,236.52
平台型公司,2,300442.SZ,润泽科技,沪深300,2026-05-28,86.47
平台型公司,3,002602.SZ,世纪华通,沪深300,2026-05-28,14.79
平台型公司,4,002230.SZ,科大讯飞,沪深300,2026-05-28,49.13
平台型公司,5,688111.SH,金山办公,沪深300,2026-05-28,236.38
平台型公司,6,002027.SZ,分众传媒,沪深300,2026-05-28,5.41
平台型公司,7,601360.SH,三六零,沪深300,2026-05-28,10.38
平台型公司,8,603613.SH,国联股份,中证1000,2026-05-28,23.78
平台型公司,9,301171.SZ,易点天下,中证1000,2026-05-28,38.82
平台型公司,10,300773.SZ,拉卡拉,中证1000,2026-05-28,25.43
资源品公司,1,601857.SH,中国石油,沪深300,2026-05-28,10.8
资源品公司,2,600938.SH,中国海油,沪深300,2026-05-28,34.46
资源品公司,3,601088.SH,中国神华,沪深300,2026-05-28,46.15
资源品公司,4,601899.SH,紫金矿业,沪深300,2026-05-28,30.71
资源品公司,5,603993.SH,洛阳钼业,沪深300,2026-05-28,18.8
资源品公司,6,601225.SH,陕西煤业,沪深300,2026-05-28,24.66
资源品公司,7,600111.SH,北方稀土,沪深300,2026-05-28,50.98
资源品公司,8,601918.SH,新集能源,中证1000,2026-05-28,9.55
资源品公司,9,601069.SH,西部黄金,中证1000,2026-05-28,27.8
资源品公司,10,301219.SZ,腾远钴业,中证1000,2026-05-28,79.46
