代码,名称,公司类型,指数归属,symbol,min,max,count,has_data
600176.SH,中国巨石,周期品公司,沪深300,SH.600176,2021-01-04,2026-06-24,1316,True
600309.SH,万华化学,周期品公司,沪深300,SH.600309,2021-01-04,2026-06-24,1316,True
600989.SH,宝丰能源,周期品公司,沪深300,SH.600989,2021-01-04,2026-06-24,1316,True
600160.SH,巨化股份,周期品公司,沪深300,SH.600160,2021-01-04,2026-06-24,1316,True
600019.SH,宝钢股份,周期品公司,沪深300,SH.600019,2021-01-04,2026-06-24,1316,True
600585.SH,海螺水泥,周期品公司,沪深300,SH.600585,2021-01-04,2026-06-24,1316,True
002648.SZ,卫星化学,周期品公司,沪深300,SZ.002648,2021-01-04,2026-06-24,1316,True
601636.SH,旗滨集团,周期品公司,中证1000,SH.601636,2021-01-04,2026-06-24,1316,True
600596.SH,新安股份,周期品公司,中证1000,SH.600596,2021-01-04,2026-06-24,1316,True
603733.SH,仙鹤股份,周期品公司,中证1000,SH.603733,2021-01-04,2026-06-24,1316,True
300750.SZ,宁德时代,制造业公司,沪深300,SZ.300750,2021-01-04,2026-06-24,1316,True
002594.SZ,比亚迪,制造业公司,沪深300,SZ.002594,2021-01-04,2026-06-24,1316,True
300274.SZ,阳光电源,制造业公司,沪深300,SZ.300274,2021-01-04,2026-06-24,1316,True
300124.SZ,汇川技术,制造业公司,沪深300,SZ.300124,2021-01-04,2026-06-24,1316,True
600406.SH,国电南瑞,制造业公司,沪深300,SH.600406,2021-01-04,2026-06-24,1316,True
600031.SH,三一重工,制造业公司,沪深300,SH.600031,2021-01-04,2026-06-24,1316,True
002028.SZ,思源电气,制造业公司,沪深300,SZ.002028,2021-01-04,2026-06-24,1316,True
601126.SH,四方股份,制造业公司,中证1000,SH.601126,2021-01-04,2026-06-24,1316,True
300776.SZ,帝尔激光,制造业公司,中证1000,SZ.300776,2021-01-04,2026-06-24,1316,True
002747.SZ,埃斯顿,制造业公司,中证1000,SZ.002747,2021-01-04,2026-06-24,1316,True
600519.SH,贵州茅台,消费品公司,沪深300,SH.600519,2021-01-04,2026-06-24,1316,True
000333.SZ,美的集团,消费品公司,沪深300,SZ.000333,2021-01-04,2026-06-24,1316,True
000858.SZ,五粮液,消费品公司,沪深300,SZ.000858,2021-01-04,2026-06-24,1316,True
000651.SZ,格力电器,消费品公司,沪深300,SZ.000651,2021-01-04,2026-06-24,1316,True
603288.SH,海天味业,消费品公司,沪深300,SH.603288,2021-01-04,2026-06-24,1316,True
600887.SH,伊利股份,消费品公司,沪深300,SH.600887,2021-01-04,2026-06-24,1316,True
600809.SH,山西汾酒,消费品公司,沪深300,SH.600809,2021-01-04,2026-06-24,1316,True
002847.SZ,盐津铺子,消费品公司,中证1000,SZ.002847,2021-01-04,2026-06-24,1316,True
002507.SZ,涪陵榨菜,消费品公司,中证1000,SZ.002507,2021-01-04,2026-06-24,1316,True
600258.SH,首旅酒店,消费品公司,中证1000,SH.600258,2021-01-04,2026-06-24,1316,True
603259.SH,药明康德,医药公司,沪深300,SH.603259,2021-01-04,2026-06-24,1316,True
600276.SH,恒瑞医药,医药公司,沪深300,SH.600276,2021-01-04,2026-06-24,1316,True
300760.SZ,迈瑞医疗,医药公司,沪深300,SZ.300760,2021-01-04,2026-06-24,1316,True
688506.SH,百利天恒,医药公司,沪深300,SH.688506,2023-01-06,2026-06-24,828,True
002001.SZ,新和成,医药公司,沪深300,SZ.002001,2021-01-04,2026-06-24,1316,True
000538.SZ,云南白药,医药公司,沪深300,SZ.000538,2021-01-04,2026-06-24,1316,True
688271.SH,联影医疗,医药公司,沪深300,SH.688271,2022-08-22,2026-06-24,920,True
603127.SH,昭衍新药,医药公司,中证1000,SH.603127,2021-01-04,2026-06-24,1316,True
300573.SZ,兴齐眼药,医药公司,中证1000,SZ.300573,2021-01-04,2026-06-24,1316,True
300529.SZ,健帆生物,医药公司,中证1000,SZ.300529,2021-01-04,2026-06-24,1316,True
601138.SH,工业富联,科技硬件公司,沪深300,SH.601138,2021-01-04,2026-06-24,1316,True
300308.SZ,中际旭创,科技硬件公司,沪深300,SZ.300308,2021-01-04,2026-06-24,1316,True
688981.SH,中芯国际,科技硬件公司,沪深300,SH.688981,2021-01-04,2026-06-24,1310,True
688256.SH,寒武纪,科技硬件公司,沪深300,SH.688256,2021-01-04,2026-06-24,1316,True
300502.SZ,新易盛,科技硬件公司,沪深300,SZ.300502,2021-01-04,2026-06-24,1316,True
